Id,number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
1,4.0,5,3,1971.0,5.0,75.0,3,43000000.0
2,1.0,3,3,2016.0,1.0,21.0,3,9000000.0
3,1.0,1,2,2014.0,1.0,20.0,3,20000000.0
4,1.0,0,1,2023.0,3.0,45.0,4,20000000.0
5,2.0,3,3,1977.0,5.0,51.7,1,36100000.0
6,2.0,0,2,2018.0,11.0,70.0,3,32000000.0
7,1.0,0,2,2012.0,7.0,50.4,3,27000000.0
8,4.0,2,1,1983.0,1.0,183.0,3,90000000.0
9,2.0,0,2,2019.0,3.0,40.0,3,21000000.0
10,2.0,5,2,2019.0,3.0,63.1,3,59000000.0
11,3.0,1,3,1992.0,9.0,74.0,2,40500000.0
12,1.0,3,1,1987.0,5.0,33.7,3,23500000.0
13,4.0,3,3,1973.0,3.0,73.0,3,48000000.0
14,2.0,7,3,1969.0,3.0,45.0,3,30000000.0
15,1.0,2,3,1968.0,1.0,33.0,3,22000000.0
16,1.0,1,3,1977.0,1.0,31.0,3,24000000.0
17,2.0,1,1,1981.0,4.0,51.8,3,50000000.0
18,1.0,0,2,2017.0,9.0,43.0,3,24000000.0
19,1.0,6,2,2023.0,6.0,47.0,3,26200000.0
20,3.0,4,2,2017.0,8.0,76.0,3,49000000.0
21,2.0,6,2,2019.0,3.0,69.0,3,29000000.0
22,1.0,0,2,2020.0,4.0,36.5,3,23500000.0
23,4.0,2,3,2000.0,6.0,100.0,3,60000000.0
24,1.0,6,2,2022.0,3.0,30.0,4,15200000.0
25,3.0,5,1,1978.0,2.0,96.0,3,105000000.0
26,2.0,2,2,2022.0,5.0,47.0,3,37500000.0
27,1.0,4,2,2024.0,5.0,54.57,0,21000000.0
28,3.0,5,3,1986.0,5.0,61.0,3,40000000.0
29,3.0,3,3,1972.0,4.0,57.0,3,31500000.0
30,2.0,4,1,2007.0,1.0,45.0,3,20000000.0
31,4.0,3,2,2007.0,15.0,172.0,3,125000000.0
32,2.0,6,2,2013.0,1.0,33.0,3,30000000.0
33,1.0,2,3,1967.0,1.0,32.0,3,20000000.0
34,3.0,5,2,2006.0,17.0,149.4,3,115000000.0
35,2.0,0,2,2017.0,10.0,58.5,3,31000000.0
36,2.0,3,2,2023.0,9.0,50.4,0,41000000.0
37,2.0,6,1,2023.0,3.0,84.0,0,27000000.0
38,2.0,3,2,2011.0,16.0,57.0,3,38000000.0
39,1.0,6,2,2022.0,5.0,39.0,3,27300000.0
40,4.0,5,2,2022.0,7.0,106.0,2,120000000.0
41,2.0,2,3,1965.0,1.0,44.0,3,23500000.0
42,2.0,0,2,2015.0,7.0,65.0,3,28500000.0
43,3.0,7,1,1989.0,3.0,67.0,3,41000000.0
44,2.0,3,2,2019.0,4.0,70.0,3,48500000.0
45,3.0,6,2,2020.0,5.0,82.0,3,52000000.0
46,1.0,3,3,1976.0,5.0,36.0,1,30000000.0
47,1.0,2,3,1966.0,1.0,31.0,2,16300000.0
48,3.0,3,2,2022.0,19.0,56.0,3,46500000.0
49,2.0,2,2,2008.0,3.0,67.0,0,40000000.0
50,3.0,2,3,1975.0,9.0,80.0,3,41700000.0
51,2.0,3,2,2023.0,15.0,51.4,4,38900000.0
52,3.0,3,2,2006.0,5.0,155.0,3,110900000.0
53,2.0,4,1,1976.0,3.0,53.0,2,27000000.0
54,5.0,5,1,2011.0,3.0,220.0,3,199000000.0
55,3.0,1,2,2011.0,5.0,140.0,3,90000000.0
56,1.0,7,2,2022.0,1.0,41.0,3,23900000.0
57,3.0,1,2,2008.0,5.0,130.0,3,87000000.0
58,2.0,3,1,1963.0,2.0,40.0,1,25000000.0
59,2.0,4,1,1989.0,5.0,50.0,3,30000000.0
60,3.0,2,3,1987.0,6.0,63.5,3,49000000.0
61,3.0,1,2,2011.0,9.0,58.0,3,39999999.0
62,2.0,3,2,2024.0,5.0,45.0,4,32000000.0
63,3.0,1,2,2012.0,18.0,126.0,3,67000000.0
64,2.0,7,2,2008.0,1.0,63.0,3,31550000.0
65,2.0,3,2,2015.0,14.0,89.1,3,171072000.0
66,3.0,1,1,1982.0,1.0,70.0,3,41500000.0
67,4.0,5,1,2012.0,4.0,139.7,3,130000000.0
68,3.0,3,1,1973.0,4.0,86.0,3,60000000.0
69,1.0,7,2,2016.0,8.0,45.0,3,25500000.0
70,3.0,2,3,1991.0,5.0,69.8,2,45000000.0
71,3.0,2,2,2014.0,5.0,104.0,3,62000000.0
72,2.0,3,2,2015.0,9.0,54.0,3,39300000.0
73,1.0,3,3,1985.0,4.0,33.0,2,31500000.0
74,2.0,3,3,1975.0,5.0,60.0,4,48500000.0
75,1.0,2,3,1994.0,4.0,35.0,3,26300000.0
76,3.0,1,2,2022.0,11.0,90.0,3,99999000.0
77,2.0,5,2,2019.0,7.0,115.5,3,150000000.0
78,3.0,1,2,2015.0,14.0,150.0,3,140000000.0
79,3.0,7,2,2016.0,9.0,99.0,3,55000000.0
80,1.0,3,1,1987.0,5.0,37.0,1,42000000.0
81,1.0,7,1,1960.0,2.0,19.0,3,10000000.0
82,1.0,7,2,2022.0,5.0,31.0,3,19000000.0
83,2.0,7,1,1962.0,3.0,40.0,3,22000000.0
84,1.0,0,2,2016.0,2.0,40.9,3,26500000.0
85,3.0,3,3,1970.0,1.0,58.0,3,45000000.0
86,3.0,6,0,2023.0,2.0,82.8,0,57000000.0
87,3.0,1,2,2012.0,15.0,102.0,3,66000000.0
88,2.0,1,3,1979.0,1.0,42.0,3,28500000.0
89,2.0,2,3,1966.0,2.0,45.0,3,26500000.0
90,5.0,2,2,2005.0,9.0,125.0,3,82000000.0
91,2.0,6,2,2021.0,9.0,64.0,3,38500000.0
92,1.0,4,1,1987.0,4.0,36.0,3,21500000.0
93,1.0,0,2,2015.0,5.0,39.6,1,18500000.0
94,3.0,4,2,2008.0,6.0,79.2,3,31000000.0
95,1.0,4,3,1989.0,3.0,42.0,3,22500000.0
96,1.0,5,2,2023.0,1.0,40.0,3,28000000.0
97,3.0,3,1,1973.0,2.0,84.0,3,61000000.0
98,1.0,1,2,2023.0,7.0,47.0,2,30000000.0
99,3.0,3,2,2019.0,3.0,74.0,3,69000000.0
100,2.0,6,2,2023.0,3.0,43.3,0,18500000.0
101,1.0,1,3,1978.0,2.0,14.0,3,14000000.0
102,2.0,0,2,2017.0,4.0,58.5,3,33500000.0
103,2.0,2,2,2018.0,6.0,78.8,3,59500000.0
104,1.0,5,2,2020.0,11.0,58.0,3,57119119.0
105,4.0,3,2,2019.0,4.0,121.9,3,105000000.0
106,2.0,3,2,2014.0,8.0,57.5,3,51000000.0
107,1.0,3,1,1965.0,2.0,36.6,3,23000000.0
108,1.0,7,2,2016.0,12.0,30.0,3,27000000.0
109,1.0,2,2,2005.0,9.0,40.0,3,28500000.0
110,1.0,2,1,1979.0,4.0,22.0,3,13800000.0
111,1.0,1,2,2023.0,1.0,41.0,4,35000000.0
112,2.0,4,1,2019.0,1.0,60.0,3,23000000.0
113,2.0,3,2,2014.0,8.0,70.0,3,54000000.0
114,1.0,4,3,1985.0,1.0,26.0,1,12000000.0
115,4.0,2,2,2005.0,7.0,108.2,3,65000000.0
116,3.0,1,3,1986.0,8.0,74.0,1,46000000.0
117,2.0,6,2,2022.0,3.0,63.7,3,34900000.0
118,1.0,2,3,1995.0,4.0,35.0,3,27000000.0
119,3.0,3,2,2014.0,8.0,100.0,3,82500000.0
120,2.0,3,2,2015.0,9.0,63.0,3,51500000.0
121,2.0,1,3,1988.0,3.0,50.0,1,32990000.0
122,2.0,2,2,2007.0,9.0,55.0,3,31000000.0
123,2.0,3,2,2019.0,10.0,55.0,3,50000000.0
124,1.0,2,2,2000.0,11.0,31.0,3,19000000.0
125,1.0,0,2,2017.0,1.0,41.0,3,25000000.0
126,2.0,5,1,1985.0,5.0,53.0,3,49500000.0
127,2.0,1,2,2012.0,9.0,65.0,3,42000000.0
128,4.0,1,2,2019.0,11.0,125.0,3,86999999.0
129,4.0,2,2,2018.0,4.0,116.0,3,71000000.0
130,2.0,0,2,2011.0,6.0,46.0,3,25000000.0
131,1.0,0,2,2020.0,1.0,45.1,3,25500000.0
132,2.0,7,3,1985.0,2.0,58.0,3,27000000.0
133,2.0,3,3,1979.0,5.0,45.0,2,35000000.0
134,2.0,2,3,1991.0,4.0,60.0,3,43000000.0
135,1.0,6,2,2019.0,7.0,43.0,3,23500000.0
136,1.0,1,2,2023.0,5.0,35.6,4,29300000.0
137,2.0,0,2,2019.0,1.0,62.0,3,33000000.0
138,2.0,6,2,2023.0,7.0,49.8,4,27999999.0
139,1.0,6,1,2023.0,1.0,46.96,0,18784000.0
140,2.0,2,2,2007.0,5.0,60.0,2,33500000.0
141,1.0,3,2,2023.0,2.0,28.63,4,28000000.0
142,3.0,2,3,1965.0,3.0,58.0,3,28000000.0
143,1.0,2,3,1967.0,2.0,31.0,3,20999999.0
144,2.0,2,2,2019.0,6.0,47.0,3,33000000.0
145,3.0,0,0,1965.0,2.0,50.3,3,23000000.0
146,3.0,2,2,2015.0,7.0,100.0,3,69000000.0
147,1.0,3,1,1965.0,2.0,30.0,1,21500000.0
148,4.0,1,1,1979.0,2.0,75.0,3,70000000.0
149,3.0,5,2,2022.0,16.0,95.4,3,71550000.0
150,1.0,3,2,2023.0,14.0,31.0,4,28000000.0
151,2.0,1,3,1979.0,5.0,45.0,1,28500000.0
152,2.0,5,2,2018.0,8.0,57.0,3,26500000.0
153,2.0,1,3,1974.0,5.0,45.0,3,31500000.0
154,2.0,6,2,2019.0,3.0,56.9,3,40000000.0
155,4.0,5,2,2021.0,10.0,236.5,3,354750000.0
156,3.0,3,3,1979.0,4.0,65.0,3,42500000.0
157,2.0,5,3,1986.0,3.0,44.0,3,24000000.0
158,1.0,6,2,2021.0,3.0,40.0,3,22500000.0
