id,listing_id,url,source,residential_complex_id,residential_complex_name,rooms,area,living_area,kitchen_area,floor,total_floors,price_usd,price_local,price_per_m2,house_type,year_built,building_series,ceiling_height,condition,bathroom,balcony,parking,furniture,floor_type,heating,security,internet,documents,offer_type,address,district,latitude,longitude,parsed_at,updated_at,is_active
1,691048362,https://krisha.kz/a/show/691048362?srchid=019b7a65-053f-7c09-b6ca-4d3c225ac156&srchtype=filter&srchpos=827,krisha.kz,,Respublika,2,72.5,,,,,75646,38497500,1043,монолитный,2023,,,,совмещенный,,,,,,,,,,Е-36 5,Нура р-н,51.128204596981,71.38541221575,2026-01-03T20:50:46.421397,,1
2,1004599137,https://krisha.kz/a/show/1004599137?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=3632,krisha.kz,,Family Town,3,89.3,,11.8,4.0,5.0,88424,45000000,990,кирпичный,2014,,2.8,,2 с/у и более,балкон и лоджия,паркинг,полностью,ламинат,,,,,,Е652 6,Есильский р-н,51.059035,71.420952,2026-01-03T20:50:52.735945,,1
3,761512600,https://krisha.kz/a/show/761512600?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=9605,krisha.kz,,Свечки,2,72.1,,,,,56984,29000000,790,монолитный,1998,,2.7,"не новый, но аккуратный ремонт",2 с/у и более,лоджия,,полностью,ламинат,,"видеонаблюдение, видеодомофон, консьерж",,,,Богенбай батыра 30,Сарыарка р-н,51.189164,71.356273,2026-01-03T20:51:01.431439,,1
4,1007029481,https://krisha.kz/a/show/1007029481?srchid=019b7a23-b115-7b9f-b72e-176c653b507b&srchtype=filter&srchpos=7720,krisha.kz,,Sezim Qala.Baqyt,4,106.77,,11.13,8.0,9.0,149338,76000000,1398,монолитный,2023,,3.0,,,,паркинг,,,,,,,,Туран 55/12,Нура р-н,51.114483931053,71.393404894695,2026-01-03T20:51:09.278359,,1
5,697845378,https://krisha.kz/a/show/697845378?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=12518,krisha.kz,,Boston Comfort House,2,39.0,,,2.0,2.0,27509,14000000,705,кирпичный,2021,,2.7,,совмещенный,лоджия,паркинг,,ламинат,,"охрана, домофон, кодовый замок",,,,"мкр Уркер, Кургальжинское шоссе 108",Нура р-н,51.121439197443,71.283094882965,2026-01-03T20:51:19.144336,,1
6,1008128187,https://krisha.kz/a/show/1008128187?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=20523,krisha.kz,,,2,39.0,,20.0,1.0,8.0,45587,23200000,1168,кирпичный,2022,,,,,,,,,,,,,,Болекпаева 14,Сарайшык р-н,51.122232,71.500695,2026-01-03T20:51:31.808226,,1
7,761237286,https://krisha.kz/a/show/761237286?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=22210,krisha.kz,,AUEN,4,109.0,,12.0,7.0,9.0,108074,55000000,991,кирпичный,2025,,3.0,,2 с/у и более,балкон и лоджия,паркинг,,,,"домофон, видеонаблюдение",,,,Б.Сокпакбаева 1 — Сарыарка,Сарыарка р-н,51.172396256993,71.402581013708,2026-01-03T20:51:40.127994,,1
8,1007457224,https://krisha.kz/a/show/1007457224?srchid=019b7a3b-e51d-764f-a61a-c2ea5132db39&srchtype=filter&srchpos=4642,krisha.kz,,Park City Forum,2,66.0,,,11.0,12.0,74472,37900000,1128,монолитный,2025,,3.0,,,,паркинг,,,,,,,,"Улица Е-429, 26 24 — Сығанақ Айтматов",Нура р-н,51.131434316719,71.358380589066,2026-01-03T20:51:45.588103,,1
9,1008120964,https://krisha.kz/a/show/1008120964?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=21500,krisha.kz,,Capital Park.Sky,2,54.0,,9.0,11.0,22.0,85476,43500000,1582,монолитный,2025,,3.0,черновая отделка,,,паркинг,,,,,,,,​Аль-Фараби 3,Есильский р-н,51.101627810333,71.451746913561,2026-01-03T20:51:51.180637,,1
10,1008360337,https://krisha.kz/a/show/1008360337?srchid=019b7a85-720b-7c77-a45d-b7962b99e132&srchtype=filter&srchpos=11675,krisha.kz,,,1,35.3,,,6.0,12.0,30457,15500000,862,монолитный,2010,,,свежий ремонт,совмещенный,балкон,,полностью,линолеум,,,,,,Дукенулы 38,Сарыарка р-н,51.180723,71.437068,2026-01-03T20:51:57.543850,,1
