iter	F1	Logloss
0	0.8141021723	0.6461733949
1	0.8126619659	0.6055477819
2	0.8154878834	0.5703067264
3	0.8133502279	0.5438514103
4	0.8178256968	0.5155630131
5	0.8172433245	0.4959604727
6	0.8172308583	0.4780375971
7	0.8191074758	0.4644010677
8	0.8189810615	0.4543112193
9	0.8190641495	0.4464949592
10	0.8211328755	0.439446339
11	0.8229192809	0.4333363277
12	0.823854114	0.4277504308
13	0.8246242389	0.4219646459
14	0.8256339474	0.4179583895
15	0.8277268963	0.4144115737
16	0.8280986034	0.4110589774
17	0.8294133046	0.4078012249
18	0.8306287962	0.4055114753
19	0.8304687403	0.4029816379
20	0.8311324035	0.4007872596
21	0.831501559	0.3986497312
22	0.8320760697	0.3967997978
23	0.8327263147	0.3955078633
24	0.8332082567	0.3940149294
25	0.8337151554	0.3927687389
26	0.8337796125	0.3915384228
27	0.8336335482	0.3900528267
28	0.8343202624	0.3889155545
29	0.8344800778	0.3880644873
30	0.8350623915	0.3873290998
31	0.8353980204	0.3866727785
32	0.8355430766	0.3853331111
33	0.8364274728	0.3839148865
34	0.837498102	0.3827473789
35	0.8375870551	0.3822038749
36	0.8375659875	0.3815540072
37	0.8382934439	0.3805341734
38	0.8385345447	0.3801473874
39	0.8386516972	0.3796189381
40	0.8388645309	0.3792462849
41	0.8387248503	0.3786384437
42	0.8387854772	0.378195786
43	0.838931843	0.3774193502
44	0.8390804902	0.376905216
45	0.8392085656	0.3765140152
46	0.8392971585	0.3761941311
47	0.8395016388	0.3754824592
48	0.8395222248	0.3750915263
49	0.8403213564	0.3740537898
50	0.8402198435	0.3736183402
51	0.8405766667	0.3732127655
52	0.8407812516	0.3726330051
53	0.840827233	0.3722398423
54	0.8412193744	0.3713529758
55	0.8411984231	0.3708588318
56	0.8419590021	0.3702120751
57	0.8421525946	0.369961908
58	0.8421771959	0.3696432404
59	0.8422017987	0.3694278696
60	0.8421736276	0.3692739209
61	0.8422862077	0.3690134014
62	0.8426238055	0.3685960406
63	0.8426696148	0.3682673856
64	0.8426520281	0.3681064586
65	0.8427013043	0.3677844176
66	0.8427224079	0.3675382541
67	0.8426907199	0.3671387642
68	0.8427188761	0.3665283366
69	0.8429616224	0.3659945131
70	0.8434257353	0.3655580685
71	0.8436190256	0.3653848289
72	0.8437313983	0.3652299037
73	0.8438471209	0.3649136542
74	0.8440508801	0.3646223875
75	0.8440931049	0.3645110031
76	0.8441036617	0.3643323889
77	0.8442717298	0.3640754614
78	0.8443699351	0.3638280847
79	0.8445033045	0.3635937164
80	0.8447978815	0.3633623948
81	0.8450083195	0.363124486
82	0.8452255851	0.3628529757
83	0.845173279	0.3625842772
