iter	Passed	Remaining
0	67	40181
1	131	39460
2	199	39783
3	259	38595
4	321	38291
5	391	38787
6	467	39563
7	526	38979
8	603	39613
9	665	39248
10	729	39082
11	789	38677
12	865	39064
13	943	39496
14	1016	39645
15	1083	39535
16	1139	39094
17	1219	39421
18	1287	39379
19	1346	39035
20	1424	39272
21	1503	39506
22	1575	39520
23	1641	39394
24	1700	39100
25	1760	38866
26	1815	38527
27	1875	38317
28	1977	38939
29	2041	38788
30	2096	38487
31	2153	38226
32	2215	38058
33	2288	38094
34	2361	38124
35	2417	37878
36	2470	37594
37	2535	37503
38	2589	37247
39	2645	37039
40	2701	36826
41	2769	36792
42	2826	36616
43	2891	36534
44	2946	36338
45	3002	36155
46	3057	35977
47	3119	35879
48	3174	35693
49	3245	35698
50	3311	35645
51	3367	35486
52	3424	35347
53	3480	35189
54	3542	35107
55	3605	35023
56	3676	35020
57	3734	34898
58	3802	34869
59	3858	34729
60	3913	34584
61	3969	34448
62	4031	34361
63	4085	34218
64	4142	34093
65	4197	33957
66	4252	33825
67	4311	33730
68	4366	33603
69	4429	33541
70	4489	33448
71	4544	33325
72	4598	33197
73	4660	33129
74	4716	33017
75	4772	32907
76	4826	32779
77	4887	32706
78	4941	32591
79	4996	32477
80	5053	32381
81	5108	32269
82	5163	32165
83	5225	32101
84	5290	32054
85	5343	31939
86	5399	31838
87	5456	31745
88	5510	31640
89	5575	31595
90	5633	31513
91	5691	31429
92	5746	31327
93	5806	31257
94	5861	31159
95	5919	31077
96	5977	30998
97	6036	30924
98	6094	30843
99	6159	30799
100	6215	30706
101	6269	30612
102	6324	30515
103	6377	30416
104	6434	30333
105	6502	30303
106	6556	30210
107	6610	30116
108	6667	30032
109	6723	29949
110	6778	29860
111	6833	29774
112	6889	29692
113	6946	29611
114	7001	29527
115	7056	29444
116	7117	29382
117	7179	29326
118	7237	29252
119	7291	29167
120	7347	29085
121	7424	29091
122	7480	29008
123	7538	28938
124	7592	28852
125	7652	28786
126	7705	28700
127	7779	28686
128	7848	28657
129	7924	28651
130	7980	28571
131	8034	28487
132	8090	28407
133	8147	28334
134	8208	28272
135	8265	28201
136	8326	28140
137	8380	28056
138	8451	28031
139	8507	27954
140	8565	27883
141	8621	27805
142	8679	27736
143	8742	27684
144	8806	27633
145	8863	27562
146	8926	27507
147	8981	27430
148	9047	27386
149	9109	27328
150	9180	27297
151	9238	27228
152	9295	27158
153	9357	27100
154	9418	27040
155	9479	26979
156	9536	26908
157	9600	26856
